Sample_ID,Genotype,Drought_Stage,Treatment,g__Achroiostachys,g__Acremonium,g__Albifimbria,g__Aspergillus,g__Atractiella,g__Chytridiomycota_gen_Incertae_sedis,g__Cladosporium,g__Clonostachys,g__Coniochaeta,g__Curvularia,g__Emericellopsis,g__Fungi_gen_Incertae_sedis,g__Fusarium,g__Humicola,g__Knufia,g__Macrophomina,g__Neocosmospora,g__Penicillium,g__Periconia,g__Poaceascoma,g__Pseudeurotium,g__Pseudophialophora,g__Pseudothielavia,g__Purpureocillium,g__Rozellomycota_gen_Incertae_sedis,g__Saitozyma,g__Sakaguchia,g__Scedosporium,g__Spizellomyces,g__Stagonospora,g__Striaticonidium,g__Taifanglania,g__Talaromyces,g__Thecaphora,g__Thermothielavioides,g__Torula,g__Trichoderma,g__Ustilaginaceae_gen_Incertae_sedis,g__Westerdykella,g__Wettsteinina,g__Xenomyrothecium,none
P32,UCR369,V4-Stage,Drought,1.13E-04,1.74E-03,2.34E-03,0.020848615,1.13E-04,5.46E-02,0.010706427,0.00E+00,0.00E+00,4.75E-03,0.003244372,0.64548891,0.123511821,0.013005699,0.00E+00,3.39E-04,0,0.075749027,0.00E+00,3.54E-03,0.00E+00,0.00E+00,0,0.001509338,0.00E+00,0.00E+00,9.87E-05,0.00E+00,2.43E-03,1.13E-04,1.41E-04,0.002539074,1.23E-03,3.87E-03,1.55E-04,0.00E+00,1.97E-04,3.81E-04,0.00E+00,1.31E-03,0.00E+00,2.59E-02
P33,ES4,R1-Stage,Control,0.00E+00,1.77E-03,1.34E-03,0.016246338,4.60E-04,2.04E-02,0.004320101,3.33E-04,0.00E+00,0.00E+00,0,0.72924685,0.011914747,0.000758316,0.00E+00,5.74E-05,0,0.194783708,0.00E+00,0.00E+00,9.19E-05,0.00E+00,0.002389843,0.001631528,1.38E-04,3.45E-05,7.47E-04,0.00E+00,0.00E+00,0.00E+00,6.89E-05,0,6.60E-03,2.30E-04,1.26E-04,0.00E+00,0.00E+00,1.95E-04,6.89E-05,0.00E+00,3.33E-04,5.73E-03
P34,ES4,R1-Stage,Control,0.00E+00,1.17E-02,5.94E-04,0.018287707,0.00E+00,1.56E-02,0.01781784,3.34E-04,1.73E-04,1.48E-04,0.001026288,0.82342904,0.011882682,0.001273586,0.00E+00,0.00E+00,0,0.06140416,0.00E+00,0.00E+00,3.46E-04,0.00E+00,0.006850162,0.001817642,3.71E-05,4.95E-05,0.00E+00,0.00E+00,7.42E-05,3.71E-05,2.60E-04,0,1.78E-03,2.73E-03,3.83E-04,9.89E-05,0.00E+00,1.85E-04,0.00E+00,0.00E+00,0.00E+00,2.17E-02
P35,ES4,R1-Stage,Drought,0.00E+00,2.34E-03,1.79E-04,0.245387266,0.00E+00,1.61E-03,0.004631874,4.36E-03,0.00E+00,1.91E-04,0.000944239,0.30806431,0.144608907,0.00028072,0.00E+00,5.87E-04,0.002947557,0.279532985,0.00E+00,3.70E-04,0.00E+00,0.00E+00,0.002373357,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.66E-04,0.00E+00,4.85E-04,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-05,6.38E-05,0.00E+00,0.00E+00,8.42E-04
P36,ES4,R1-Stage,Drought,6.96E-04,1.09E-03,6.04E-04,0.049367155,0.00E+00,8.53E-04,0.001260438,2.40E-03,1.31E-04,2.56E-03,0.000196943,0.54461425,0.375584266,0.000196943,9.19E-05,8.53E-04,0,0.007930256,0.00E+00,1.30E-03,0.00E+00,0.00E+00,0.001431122,0.000919069,0.00E+00,3.94E-05,0.00E+00,0.00E+00,0.00E+00,8.67E-04,0.00E+00,0,2.09E-03,4.46E-04,0.00E+00,1.84E-04,0.00E+00,3.54E-04,0.00E+00,2.89E-03,0.00E+00,1.05E-03
P37,ES4,R1-Stage,Drought,3.98E-04,1.33E-04,0.00E+00,0.001414693,0.00E+00,7.63E-04,0.003801987,3.63E-02,7.74E-05,4.09E-04,0.000873131,0.90270671,0.040053493,0.001215752,5.08E-04,0.00E+00,0.000541562,0.0028957,2.21E-05,0.00E+00,1.22E-04,1.99E-04,0.001425745,0.001072072,2.87E-04,0.00E+00,0.00E+00,0.00E+00,1.99E-04,2.87E-04,5.53E-05,0,2.32E-04,1.29E-03,0.00E+00,0.00E+00,3.98E-04,5.53E-05,1.22E-04,1.33E-04,0.00E+00,1.99E-03
P38,ES4,R1-Stage,Drought,1.74E-04,2.54E-03,1.52E-04,0.024671053,0.00E+00,7.84E-04,0.005565964,6.72E-02,4.36E-05,1.39E-03,0.000599076,0.77162121,0.081310997,0.000751569,1.96E-04,4.57E-04,0,0.032143168,0.00E+00,1.52E-04,0.00E+00,0.00E+00,0.005021349,0.000838707,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-03,5.66E-04,0.00E+00,0,1.32E-03,5.45E-05,1.52E-04,0.00E+00,8.71E-05,0.00E+00,0.00E+00,0.00E+00,1.63E-04,9.80E-04
P39,ES4,R1-Stage,Control,7.59E-04,1.64E-03,1.78E-03,0.040851025,0.00E+00,4.62E-03,0.01238906,1.77E-03,1.13E-04,6.57E-04,0.000884123,0.82203054,0.032712558,0.004533965,4.53E-04,0.00E+00,0.002437006,0.0208109,6.46E-04,9.41E-04,2.95E-04,6.35E-04,0,0.035931673,1.25E-03,0.00E+00,0.00E+00,1.47E-04,2.04E-04,1.13E-04,8.05E-04,0.001008807,2.79E-03,1.13E-03,2.27E-04,1.25E-04,0.00E+00,1.25E-04,1.02E-04,3.40E-05,0.00E+00,5.04E-03
P40,ES4,R1-Stage,Control,2.45E-04,6.96E-04,5.88E-04,0.067587302,0.00E+00,3.24E-02,0.023796689,2.00E-03,7.55E-04,4.60E-02,0.003900775,0.56282894,0.023973106,0.006096187,1.96E-04,0.00E+00,0.001548549,0.022493164,6.86E-05,1.19E-03,1.26E-03,2.94E-04,0.064911645,0.011447501,2.06E-04,1.47E-04,8.82E-05,2.16E-04,3.84E-03,1.18E-04,9.21E-04,0.007478119,6.43E-03,2.28E-03,1.27E-03,2.16E-04,1.04E-03,6.47E-04,1.99E-03,2.94E-04,7.15E-04,9.77E-02
P41,UCR369,R1-Stage,Control,0.00E+00,6.33E-03,1.66E-04,0.000273312,0.00E+00,5.35E-04,0.003909546,4.08E-03,3.56E-05,2.02E-04,0.001521039,0.89856571,0.054484094,0.009732273,0.00E+00,0.00E+00,0.001152662,0.004361104,0.00E+00,5.94E-04,0.00E+00,0.00E+00,0.00186565,0.003588702,0.00E+00,0.00E+00,2.38E-05,0.00E+00,8.32E-05,0.00E+00,0.00E+00,0,1.11E-03,0.00E+00,0.00E+00,0.00E+00,1.16E-03,0.00E+00,9.74E-04,0.00E+00,3.47E-03,1.78E-03
